ticker,date,gvkey,comp_name,fiscal_year,fiscal_quarter,assets,net_income,ebitda,revenue,rd_expense,cap_ex_ytd,sector_code
AAPL,2005-03-31,1690,APPLE INC,2005,2,10111.0,286.0,438.0,3243.0,120.0,101.0,45
AAPL,2005-06-30,1690,APPLE INC,2005,3,10488.0,319.0,472.0,3520.0,145.0,164.0,45
AAPL,2005-09-30,1690,APPLE INC,2005,4,11551.0,428.0,468.0,3678.0,147.0,260.0,45
AAPL,2005-12-31,1690,APPLE INC,2006,1,14181.0,565.0,802.0,5749.0,182.0,82.0,45
AAPL,2006-03-31,1690,APPLE INC,2006,2,13911.0,410.0,579.0,4359.0,176.0,275.0,45
AAPL,2006-06-30,1690,APPLE INC,2006,3,15114.0,472.0,623.0,4370.0,175.0,512.0,45
AAPL,2006-09-30,1690,APPLE INC,2006,4,17205.0,542.0,674.0,4837.0,179.0,657.0,45
AAPL,2006-12-31,1690,APPLE INC,2007,1,19461.0,1004.0,1396.0,7115.0,184.0,142.0,45
AAPL,2007-03-31,1690,APPLE INC,2007,2,18711.0,770.0,1055.0,5264.0,183.0,247.0,45
AAPL,2007-06-30,1690,APPLE INC,2007,3,21647.0,818.0,1122.0,5410.0,208.0,530.0,45
AAPL,2007-09-30,1690,APPLE INC,2007,4,25347.0,904.0,1153.0,6217.0,207.0,735.0,45
AAPL,2007-12-31,1690,APPLE INC,2008,1,30039.0,1581.0,2232.0,9608.0,246.0,224.0,45
AAPL,2008-03-31,1690,APPLE INC,2008,2,30471.0,1045.0,1431.0,7512.0,273.0,384.0,45
AAPL,2008-06-30,1690,APPLE INC,2008,3,31709.0,1072.0,1509.0,7464.0,292.0,688.0,45
AAPL,2008-09-30,1690,APPLE INC,2008,4,39572.0,1136.0,1576.0,7895.0,298.0,1091.0,45
AAPL,2008-12-31,1690,APPLE INC,2009,1,42787.0,2255.0,3269.0,11880.0,315.0,339.0,45
AAPL,2009-03-31,1690,APPLE INC,2009,2,43237.0,1620.0,2504.0,9084.0,319.0,439.0,45
AAPL,2009-06-30,1690,APPLE INC,2009,3,48140.0,1828.0,2814.0,9734.0,341.0,685.0,45
AAPL,2009-09-30,1690,APPLE INC,2009,4,47501.0,2532.0,3887.0,12207.0,358.0,1144.0,45
AAPL,2009-12-31,1690,APPLE INC,2010,1,53926.0,3378.0,4934.0,15683.0,398.0,376.0,45
AAPL,2010-03-31,1690,APPLE INC,2010,2,57057.0,3074.0,4195.0,13499.0,426.0,650.0,45
AAPL,2010-06-30,1690,APPLE INC,2010,3,64725.0,3253.0,4507.0,15700.0,464.0,1245.0,45
AAPL,2010-09-30,1690,APPLE INC,2010,4,75183.0,4308.0,5776.0,20343.0,494.0,2005.0,45
AAPL,2010-12-31,1690,APPLE INC,2011,1,86742.0,6004.0,8183.0,26741.0,575.0,1214.0,45
AAPL,2011-03-31,1690,APPLE INC,2011,2,94904.0,5987.0,8308.0,24667.0,581.0,1838.0,45
AAPL,2011-06-30,1690,APPLE INC,2011,3,106758.0,7308.0,9860.0,28571.0,628.0,2615.0,45
AAPL,2011-09-30,1690,APPLE INC,2011,4,116371.0,6623.0,9253.0,28270.0,645.0,4260.0,45
AAPL,2011-12-31,1690,APPLE INC,2012,1,138681.0,13064.0,18061.0,46333.0,758.0,1321.0,45
AAPL,2012-03-31,1690,APPLE INC,2012,2,150934.0,11622.0,16124.0,39186.0,841.0,2778.0,45
AAPL,2012-06-30,1690,APPLE INC,2012,3,162896.0,8824.0,12408.0,35023.0,876.0,4834.0,45
AAPL,2012-09-30,1690,APPLE INC,2012,4,176064.0,8223.0,11925.0,35966.0,906.0,8295.0,45
AAPL,2012-12-31,1690,APPLE INC,2013,1,196088.0,13078.0,18798.0,54512.0,1010.0,2317.0,45
AAPL,2013-03-31,1690,APPLE INC,2013,2,194743.0,9547.0,14250.0,43603.0,1119.0,4325.0,45
AAPL,2013-06-30,1690,APPLE INC,2013,3,199856.0,6900.0,10895.0,35323.0,1178.0,6210.0,45
AAPL,2013-09-30,1690,APPLE INC,2013,4,207000.0,7512.0,11813.0,37472.0,1168.0,8165.0,45
AAPL,2013-12-31,1690,APPLE INC,2014,1,225184.0,13072.0,19607.0,57594.0,1330.0,1985.0,45
AAPL,2014-03-31,1690,APPLE INC,2014,2,205989.0,10223.0,15480.0,45646.0,1422.0,3367.0,45
AAPL,2014-06-30,1690,APPLE INC,2014,3,222520.0,7748.0,12228.0,37432.0,1603.0,5745.0,45
AAPL,2014-09-30,1690,APPLE INC,2014,4,231839.0,8467.0,13134.0,42123.0,1686.0,9571.0,45
AAPL,2014-12-31,1690,APPLE INC,2015,1,261894.0,18024.0,26821.0,74599.0,1895.0,3217.0,45
AAPL,2015-03-31,1690,APPLE INC,2015,2,261194.0,13569.0,20757.0,58010.0,1918.0,5586.0,45
AAPL,2015-06-30,1690,APPLE INC,2015,3,273151.0,10677.0,17167.0,49605.0,2034.0,7629.0,45
AAPL,2015-09-30,1690,APPLE INC,2015,4,290479.0,11124.0,17742.0,51501.0,2220.0,11247.0,45
AAPL,2015-12-31,1690,APPLE INC,2016,1,293284.0,18361.0,26577.0,75324.0,2404.0,3612.0,45
AAPL,2016-03-31,1690,APPLE INC,2016,2,305277.0,10516.0,16464.0,50557.0,2511.0,5948.0,45
AAPL,2016-06-30,1690,APPLE INC,2016,3,305602.0,7796.0,12631.0,42358.0,2560.0,8757.0,45
